15	6	E	-3201403.48089737	200
emissionprobs	9	0	H3K27ac	1	8.381095771247382E-4
emissionprobs	9	1	H3K27me3	0	0.9990381393651181
emissionprobs	9	1	H3K27me3	1	9.618606348818385E-4
emissionprobs	9	2	H3K36me3	0	0.997871863545779
emissionprobs	9	2	H3K36me3	1	0.002128136454221072
emissionprobs	9	3	H3K4me1	0	0.9947274319654972
emissionprobs	9	3	H3K4me1	1	0.0052725680345027635
emissionprobs	9	4	H3K4me3	0	0.999745050444323
emissionprobs	9	4	H3K4me3	1	2.549495556769412E-4
emissionprobs	9	5	H3K9me3	0	0.9972222749152888
emissionprobs	9	5	H3K9me3	1	0.0027777250847112168
emissionprobs	10	0	H3K27ac	0	0.7467783701676735
emissionprobs	10	0	H3K27ac	1	0.2532216298323265
emissionprobs	10	1	H3K27me3	0	0.9999804730356248
emissionprobs	10	1	H3K27me3	1	1.9526964375207585E-5
emissionprobs	10	2	H3K36me3	0	0.5155728766383122
emissionprobs	10	2	H3K36me3	1	0.48442712336168786
emissionprobs	10	3	H3K4me1	0	0.32819240228406205
emissionprobs	10	3	H3K4me1	1	0.671807597715938
emissionprobs	10	4	H3K4me3	0	0.9976246093522306
emissionprobs	10	4	H3K4me3	1	0.002375390647769403
emissionprobs	10	5	H3K9me3	0	0.9911591383698884
emissionprobs	10	5	H3K9me3	1	0.008840861630111533
emissionprobs	11	0	H3K27ac	0	0.9980696395444261
emissionprobs	11	0	H3K27ac	1	0.0019303604555738706
emissionprobs	11	1	H3K27me3	0	0.9999617919423887
emissionprobs	11	1	H3K27me3	1	3.820805761132297E-5
emissionprobs	11	2	H3K36me3	0	0.9269343905464287
emissionprobs	11	2	H3K36me3	1	0.07306560945357127
emissionprobs	11	3	H3K4me1	0	0.9969358571220217
emissionprobs	11	3	H3K4me1	1	0.0030641428779783044
emissionprobs	11	4	H3K4me3	0	0.9998398173626939
emissionprobs	11	4	H3K4me3	1	1.601826373061386E-4
emissionprobs	11	5	H3K9me3	0	0.9986743581518446
emissionprobs	11	5	H3K9me3	1	0.0013256418481553194
emissionprobs	12	0	H3K27ac	0	0.9895794673813111
emissionprobs	12	0	H3K27ac	1	0.010420532618688902
emissionprobs	12	1	H3K27me3	0	0.9998979813745779
emissionprobs	12	1	H3K27me3	1	1.0201862542220012E-4
emissionprobs	12	2	H3K36me3	0	0.6364581180990562
emissionprobs	12	2	H3K36me3	1	0.36354188190094383
emissionprobs	12	3	H3K4me1	0	0.9942519215288835
emissionprobs	12	3	H3K4me1	1	0.005748078471116485
emissionprobs	12	4	H3K4me3	0	0.9995831169626668
emissionprobs	12	4	H3K4me3	1	4.1688303733316526E-4
emissionprobs	12	5	H3K9me3	0	0.9963301585039775
emissionprobs	12	5	H3K9me3	1	0.0036698414960225057
emissionprobs	13	0	H3K27ac	0	0.9915860423123539
emissionprobs	13	0	H3K27ac	1	0.008413957687646178
emissionprobs	13	1	H3K27me3	0	0.997821413560764
emissionprobs	13	1	H3K27me3	1	0.002178586439235961
emissionprobs	13	2	H3K36me3	0	0.9161195338758861
emissionprobs	13	2	H3K36me3	1	0.08388046612411387
emissionprobs	13	3	H3K4me1	0	0.9870427034481472
emissionprobs	13	3	H3K4me1	1	0.012957296551852944
emissionprobs	13	4	H3K4me3	0	0.9955757624052427
emissionprobs	13	4	H3K4me3	1	0.004424237594757273
emissionprobs	13	5	H3K9me3	0	0.6239674327041929
emissionprobs	13	5	H3K9me3	1	0.3760325672958071
emissionprobs	14	0	H3K27ac	0	0.9998890301953817
emissionprobs	14	0	H3K27ac	1	1.1096980461824578E-4
emissionprobs	14	1	H3K27me3	0	0.9991020820094689
emissionprobs	14	1	H3K27me3	1	8.979179905310373E-4
emissionprobs	14	2	H3K36me3	0	0.9998684181386113
emissionprobs	14	2	H3K36me3	1	1.3158186138877156E-4
emissionprobs	14	3	H3K4me1	0	0.9998501398412003
emissionprobs	14	3	H3K4me1	1	1.4986015879959376E-4
emissionprobs	14	4	H3K4me3	0	0.9996547875342017
emissionprobs	14	4	H3K4me3	1	3.4521246579828326E-4
emissionprobs	14	5	H3K9me3	0	0.9970064693281916
emissionprobs	14	5	H3K9me3	1	0.0029935306718084824
emissionprobs	15	0	H3K27ac	0	0.9986493631600827
emissionprobs	15	0	H3K27ac	1	0.001350636839917338
emissionprobs	15	1	H3K27me3	0	0.949563500002155
emissionprobs	15	1	H3K27me3	1	0.050436499997845004
emissionprobs	15	2	H3K36me3	0	0.999828927795467
emissionprobs	15	2	H3K36me3	1	1.7107220453305453E-4
emissionprobs	15	3	H3K4me1	0	0.9969755434515127
emissionprobs	15	3	H3K4me1	1	0.0030244565484873137
emissionprobs	15	4	H3K4me3	0	0.999246907684929
emissionprobs	15	4	H3K4me3	1	7.530923150709831E-4
emissionprobs	15	5	H3K9me3	0	0.9981695936307234
emissionprobs	15	5	H3K9me3	1	0.0018304063692766075
